Title,Year,Genre(s),IMDB,Rotten Tomatoes,Metacritic,TMDB,# of IMDB Votes,# of Awards,Gross Domestic Box Office Sales ($),Media,Origin
Pain & Gain,2013,"Action, Biography, Comedy",6.4,50,45,6.3,"232,473",4 nominations,"$49,875,291",movie,Foreign
The Numbers Station,2013,"Action, Thriller",5.6,31,39,5.5,"20,950",1 nomination,N/A,movie,Domestic
Mama,2013,"Fantasy, Horror, Thriller",6.2,64,57,6.3,"193,426",11 wins & 19 nominations,"$71,628,180",movie,Foreign
Pawn,2013,"Action, Crime, Mystery",5.7,,,,,,,,Foreign
300: Rise of an Empire,2014,"Action, Drama",6.2,45,48,6.1,"319,264",2 wins & 7 nominations,"$106,580,051",movie,Foreign
Temptation: Confessions of a Marriage Counselor,2013,Drama,4.9,21,26,6.6,"12,456",1 win & 5 nominations,"$51,975,354",movie,Foreign
The Way Way Back,2013,"Comedy, Drama",7.4,84,68,7.1,"158,432",5 wins & 31 nominations,"$21,506,546",movie,Foreign
Grown Ups 2,2013,Comedy,5.4,8,19,6.1,"173,844",5 wins & 15 nominations,"$133,668,525",movie,Foreign
Dark Skies,2013,"Horror, Sci-Fi, Thriller",6.3,41,50,6.3,"80,602",N/A,"$17,418,667",movie,Foreign
Assassins Run,2013,"Action, Crime, Thriller",4.3,,,,,,,,Foreign
Percy Jackson: Sea of Monsters,2013,"Adventure, Family, Fantasy",5.7,42,39,6.0,"128,419",3 wins & 5 nominations,"$68,559,554",movie,Foreign
The Bling Ring,2013,"Biography, Crime, Drama",5.6,60,66,5.4,"93,139",4 wins & 7 nominations,"$5,845,732",movie,Foreign
Identity Thief,2013,"Comedy, Crime, Drama",5.7,19,35,5.863,"142,347",1 win & 9 nominations,"$134,506,920",movie,Foreign
The Big Wedding,2013,"Comedy, Drama, Romance",5.6,7,28,5.9,"52,259",2 nominations,"$21,819,348",movie,Foreign
