Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
92,tt2211129,2021-01-04,2021-01-04,,"The Mindy Project","The Mindy Project",https://www.imdb.com/title/tt2211129/,TV Series,7.5,30,2012,"Comedy",35351,2012-09-25,
93,tt3314218,2021-01-04,2021-01-04,,"UnREAL","UnREAL",https://www.imdb.com/title/tt3314218/,TV Series,7.8,42,2015,"Drama",16106,2015-06-01,
94,tt7390588,2021-01-04,2021-01-04,,"Little Monsters","Little Monsters",https://www.imdb.com/title/tt7390588/,Movie,6.3,93,2019,"Comedy, Horror, Sci-Fi",19912,2019-10-11,"Abe Forsythe"
95,tt5913798,2021-01-04,2021-01-04,,"Wounds","Wounds",https://www.imdb.com/title/tt5913798/,Movie,4.1,95,2019,"Drama, Horror, Mystery, Thriller",22237,2019-10-18,"Babak Anvari"
96,tt10994688,2021-01-04,2021-01-04,,"The Binge","The Binge",https://www.imdb.com/title/tt10994688/,Movie,5.3,98,2020,"Comedy",4651,2020-08-28,"Jeremy Garelick"
97,tt11242218,2021-01-04,2021-01-04,,"Books of Blood","Books of Blood",https://www.imdb.com/title/tt11242218/,Movie,5.6,107,2020,"Drama, Horror, Mystery, Sci-Fi",10460,2020-10-07,"Brannon Braga"
98,tt4798836,2021-01-04,2021-01-04,,"Bad Hair","Bad Hair",https://www.imdb.com/title/tt4798836/,Movie,5.6,102,2020,"Comedy, Horror, Music",4461,2020-10-23,"Justin Simien"
99,tt11268742,2021-01-04,2021-01-04,,"The Ultimate Playlist of Noise","The Ultimate Playlist of Noise",https://www.imdb.com/title/tt11268742/,Movie,6.6,99,2021,"Comedy, Drama, Music",1108,2021-01-15,"Bennett Lasseter"
100,tt6067832,2021-01-04,2021-01-04,,"Batman & Bill","Batman & Bill",https://www.imdb.com/title/tt6067832/,Movie,7.9,93,2017,"Documentary, Animation, Mystery",2320,2017-05-06,"Don Argott, Sheena M. Joyce"
101,tt6110504,2021-01-04,2021-01-04,,"Becoming Bond","Becoming Bond",https://www.imdb.com/title/tt6110504/,Movie,7.5,95,2017,"Documentary, Biography, Comedy, History, Romance",3324,2017-05-20,"Josh Greenbaum"
102,tt6794450,2021-01-04,2021-01-04,,"Dumb: The Story of Big Brother Magazine","Dumb: The Story of Big Brother Magazine",https://www.imdb.com/title/tt6794450/,Movie,7.4,79,2017,"Documentary",658,2017-04-27,"Patrick O'Dell"
103,tt7544820,2021-01-04,2021-01-04,,"Too Funny to Fail: The Life & Death of The Dana Carvey Show","Too Funny to Fail: The Life & Death of The Dana Carvey Show",https://www.imdb.com/title/tt7544820/,Movie,7.7,95,2017,"Documentary",1955,2017-10-21,"Josh Greenbaum"
104,tt7179102,2021-01-04,2021-01-04,,"Obey Giant","Obey Giant",https://www.imdb.com/title/tt7179102/,Movie,7.4,92,2017,"Documentary",445,2017-11-11,"James Moll"
105,tt5852632,2021-01-04,2021-01-04,,"March of the Penguins 2: The Next Step","L'empereur",https://www.imdb.com/title/tt5852632/,Movie,6.6,76,2017,"Documentary, Adventure, Comedy, Drama, Family",874,2018-03-23,"Luc Jacquet"
106,tt7259104,2021-01-04,2021-01-04,,"Tiny Shoulders, Rethinking Barbie","Tiny Shoulders, Rethinking Barbie",https://www.imdb.com/title/tt7259104/,Movie,6.7,91,2018,"Documentary",402,2018-04-27,"Andrea Blaugrund Nevins"
107,tt8226078,2021-01-04,2021-01-04,,"Ballet Now","Ballet Now",https://www.imdb.com/title/tt8226078/,Movie,7.2,74,2018,"Documentary",229,2018-07-20,"Steven Cantor"
108,tt7689908,2021-01-04,2021-01-04,,"Crime + Punishment","Crime + Punishment",https://www.imdb.com/title/tt7689908/,Movie,7.4,112,2018,"Documentary",700,2018-08-24,"Stephen Maing"
109,tt7843600,2021-01-04,2021-01-04,,"Fyre Fraud","Fyre Fraud",https://www.imdb.com/title/tt7843600/,Movie,6.8,96,2019,"Documentary",6912,2019-01-14,"Jenner Furst, Julia Willoughby Nason"
110,tt9353586,2021-01-04,2021-01-04,,"Ask Dr. Ruth","Ask Dr. Ruth",https://www.imdb.com/title/tt9353586/,Movie,7.7,100,2019,"Documentary, Biography",1135,2019-05-03,"Ryan White"
111,tt9358084,2021-01-04,2021-01-04,,"The Amazing Johnathan Documentary","The Amazing Johnathan Documentary",https://www.imdb.com/title/tt9358084/,Movie,6.5,91,2019,"Documentary",1707,2019-08-16,"Benjamin Berman"
112,tt8499102,2021-01-04,2021-01-04,,"Jawline","Jawline",https://www.imdb.com/title/tt8499102/,Movie,6.1,99,2019,"Documentary",581,2019-01-28,"Liza Mandelup"
113,tt9358228,2021-01-04,2021-01-04,,"Untouchable","Untouchable",https://www.imdb.com/title/tt9358228/,Movie,6.7,98,2019,"Documentary, Biography, Crime",3261,2019-09-02,"Ursula Macfarlane"
114,tt11197082,2021-01-04,2021-01-04,,"Margaret Atwood: A Word After a Word After a Word Is Power","Margaret Atwood: A Word After a Word After a Word Is Power",https://www.imdb.com/title/tt11197082/,Movie,7.6,52,2019,"Documentary, Biography",486,2019,"Nancy Lang, Peter Raymont"
115,tt11426644,2021-01-04,2021-01-04,,"We Are Freestyle Love Supreme","We Are Freestyle Love Supreme",https://www.imdb.com/title/tt11426644/,Movie,7.0,90,2020,"Documentary, Comedy, Musical",380,2020-07-17,"Andrew Fried"
116,tt10394738,2021-01-04,2021-01-04,,"I Am Greta","I Am Greta",https://www.imdb.com/title/tt10394738/,Movie,7.5,97,2020,"Documentary, Biography",8421,2020-11-13,"Nathan Grossman"
117,tt13473640,2021-01-04,2021-01-04,,"69: The Saga of Danny Hernandez","69: The Saga of Danny Hernandez",https://www.imdb.com/title/tt13473640/,TV Movie,5.7,102,2020,"Documentary, Music",735,2020-11-16,"Vikram Gandhi"
118,tt12306692,2021-01-04,2021-01-04,,"American Horror Stories","American Horror Stories",https://www.imdb.com/title/tt12306692/,TV Series,6.3,45,2021,"Drama, Horror, Mystery, Thriller",27485,2021-07-15,
119,tt9174558,2021-01-04,2021-01-04,,"Dopesick","Dopesick",https://www.imdb.com/title/tt9174558/,TV Mini Series,8.6,60,2021,"Drama",82203,2021-10-13,
120,tt8760932,2021-01-04,2021-01-04,,"Nine Perfect Strangers","Nine Perfect Strangers",https://www.imdb.com/title/tt8760932/,TV Series,7.0,50,2021,"Drama, Mystery, Thriller",62472,2021-08-18,
121,tt10731840,2021-01-04,2021-01-04,,"The Premise","The Premise",https://www.imdb.com/title/tt10731840/,TV Series,6.7,30,2021,"Comedy, Drama",2153,2021-09-16,
122,tt10166622,2021-01-04,2021-01-04,,"The Dropout","The Dropout",https://www.imdb.com/title/tt10166622/,TV Mini Series,7.5,50,2022,"Biography, Drama",38111,2022-03-03,
123,tt8042500,2021-01-04,2021-01-04,,"Y: The Last Man","Y: The Last Man",https://www.imdb.com/title/tt8042500/,TV Series,6.0,60,2021,"Action, Adventure, Drama, Sci-Fi",15854,2021-09-13,
